_date, average_price , total_volume ,_4046,_4225,_4770 ,total_bags,type,year,geography
13/06/2021 0:00,1.29,"524,845.12",248514.11,273471.73,2859.29,342576.57,conventional,2021,Baltimore/Washington
06/06/2021 0:00,1.41,"476,231.47",209074.09,264629,2528.37,359669.92,conventional,2021,Baltimore/Washington
30/05/2021 0:00,1.42,"487,650.84",215798.12,269590.06,2262.67,386388.8,conventional,2021,Baltimore/Washington
23/05/2021 0:00,1.43,"478,560.35",212383.49,263442.32,2734.54,386052.08,conventional,2021,Baltimore/Washington
13/06/2021 0:00,1.28,"3,930.02",530.13,3395.27,4.61,87843.3,organic,2021,Baltimore/Washington
06/06/2021 0:00,1.22,"4,053.57",528.67,3519.12,5.77,96833.21,organic,2021,Baltimore/Washington
30/05/2021 0:00,1.22,"3,660.02",426.74,3228.66,4.61,89394.79,organic,2021,Baltimore/Washington
23/05/2021 0:00,1.2,"3,972.40",435.11,3531.54,5.76,94760.41,organic,2021,Baltimore/Washington
11/07/2021 0:00,1.36,"448,195.48",206466.2,239438.16,2291.12,355477.36,conventional,2021,Baltimore/Washington
04/07/2021 0:00,1.42,"434,168.09",193798.26,238356.04,2013.79,375930.97,conventional,2021,Baltimore/Washington
27/06/2021 0:00,1.41,"451,930.73",211246.21,238809.99,1874.54,326782.36,conventional,2021,Baltimore/Washington
20/06/2021 0:00,1.38,"437,296.63",195868.82,239493.76,1934.04,380469.59,conventional,2021,Baltimore/Washington
11/07/2021 0:00,1.75, -   ,0,0,0,37743.75,organic,2021,Baltimore/Washington
04/07/2021 0:00,1.74, -   ,0,0,0,37610.66,organic,2021,Baltimore/Washington
27/06/2021 0:00,1.74,0,0,0,0,37201.59,organic,2021,Baltimore/Washington
20/06/2021 0:00,1.72,0,0,0,0,38484.92,organic,2021,Baltimore/Washington
08/08/2021 0:00,1.27,"447,004.53",229804.16,215150.11,2050.27,290344.49,conventional,2021,Baltimore/Washington
01/08/2021 0:00,1.32,"398,441.37",188742.52,207740.95,1957.9,355352.95,conventional,2021,Baltimore/Washington
25/07/2021 0:00,1.39,"421,187.75",196240.57,222981.25,1965.92,340290.12,conventional,2021,Baltimore/Washington
18/07/2021 0:00,1.34,"425,262.53",198953.44,224064.4,2244.7,377389.09,conventional,2021,Baltimore/Washington
08/08/2021 0:00,1.7,"3,498.76",345.67,3153.1,0,42501.82,organic,2021,Baltimore/Washington
